FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,Salary,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing,Name,Team,Position,GSIS_ID,HmeFldAdv,NextGame
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,117.0,4900,0.0,1.0,0.0,Darren McFadden,DAL,RB,00-0026144,HME,NYJ@Dal 08:25PM ET
0.0,0.0,0.0,0.0,0.0,1.0,31.0,0.0,0.0,92.0,5700,0.0,0.0,0.0,David Johnson,ARI,RB,00-0032187,HME,Ari@Phi 08:30PM ET
0.0,0.0,0.0,0.0,0.0,2.0,118.0,0.0,0.0,0.0,8500,0.0,0.0,0.0,DeAndre Hopkins,HOU,WR,00-0030564,HME,Hou@Ind 01:00PM ET
1.0,1.0,0.0,0.0,0.0,0.0,55.0,0.0,2.0,170.0,6600,0.0,1.0,0.0,DeAngelo Williams,PIT,RB,00-0024242,HME,Den@Pit 04:25PM ET
1.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,64.0,4000,0.0,0.0,0.0,DeMarco Murray,PHI,RB,00-0028009,HME,Ari@Phi 08:30PM ET
1.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,0.0,0.0,4500,0.0,0.0,0.0,DeSean Jackson,WAS,WR,00-0026189,HME,Buf@Was 01:00PM ET
0.0,0.0,0.0,0.0,0.0,1.0,92.0,0.0,0.0,0.0,5600,0.0,0.0,0.0,Delanie Walker,TEN,TE,00-0024389,HME,Ten@NE 01:00PM ET
1.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,6800,0.0,0.0,0.0,Demaryius Thomas,DEN,WR,00-0027874,HME,Den@Pit 04:25PM ET
0.0,1.0,3.0,4.0,333.0,0.0,0.0,0.0,0.0,12.0,5600,0.0,0.0,0.0,Derek Carr,OAK,QB,00-0031280,HME,GB@Oak 04:05PM ET
0.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,88.0,7500,0.0,0.0,0.0,Devonta Freeman,ATL,RB,00-0031285,HME,Atl@Jax 01:00PM ET
0.0,0.0,0.0,0.0,0.0,1.0,114.0,0.0,0.0,0.0,4300,0.0,0.0,0.0,Donte Moncrief,IND,WR,00-0031339,HME,Hou@Ind 01:00PM ET
0.0,0.0,0.0,0.0,0.0,3.0,145.0,0.0,0.0,0.0,5800,0.0,0.0,0.0,Doug Baldwin,SEA,WR,00-0028434,HME,Cle@Sea 04:05PM ET
1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0,95.0,6600,0.0,0.0,0.0,Doug Martin,TB,RB,00-0029613,HME,TB@StL 08:25PM ET
0.0,0.0,1.0,7.0,511.0,0.0,0.0,0.0,1.0,12.0,6600,0.0,0.0,0.0,Drew Brees,NO,QB,00-0020531,HME,Det@NO 08:30PM ET
0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,78.0,3500,0.0,0.0,0.0,Duke Johnson,CLE,RB,00-0032257,HME,Cle@Sea 04:05PM ET
1.0,0.0,0.0,0.0,0.0,1.0,34.0,0.0,1.0,124.0,5200,0.0,0.0,0.0,Eddie Lacy,GB,RB,00-0030485,HME,GB@Oak 04:05PM ET
1.0,0.0,1.0,2.0,361.0,0.0,0.0,0.0,0.0,10.0,5600,0.0,0.0,0.0,Eli Manning,NYG,QB,00-0022803,HME,Car@NYG 01:00PM ET
1.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,5500,0.0,0.0,0.0,Emmanuel Sanders,DEN,WR,00-0027685,HME,Den@Pit 04:25PM ET
0.0,0.0,0.0,0.0,0.0,1.0,85.0,0.0,0.0,0.0,6300,0.0,0.0,0.0,Eric Decker,NYJ,WR,00-0027690,HME,NYJ@Dal 08:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,83.0,4000,0.0,0.0,0.0,Frank Gore,IND,RB,00-0023500,HME,Hou@Ind 01:00PM ET
0.0,0.0,0.0,0.0,0.0,1.0,91.0,0.0,0.0,0.0,5000,0.0,0.0,0.0,Gary Barnidge,CLE,TE,00-0026281,HME,Cle@Sea 04:05PM ET
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000,0.0,0.0,0.0,Geno Smith,NYJ,QB,00-0030565,HME,NYJ@Dal 08:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,72.0,4500,0.0,0.0,0.0,Giovani Bernard,CIN,RB,00-0030456,HME,Cin@SF 04:25PM ET
0.0,0.0,0.0,0.0,0.0,1.0,73.0,0.0,0.0,3.0,5500,0.0,0.0,0.0,Golden Tate,DET,WR,00-0027891,HME,Det@NO 08:30PM ET
0.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,6900,0.0,0.0,0.0,Greg Olsen,CAR,TE,00-0025418,HME,Car@NYG 01:00PM ET
0.0,0.0,2.0,1.0,264.0,0.0,0.0,0.0,1.0,24.0,5500,0.0,0.0,0.0,Jameis Winston,TB,QB,00-0031503,HME,TB@StL 08:25PM ET
0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,James Jones,GB,WR,00-0025465,HME,GB@Oak 04:05PM ET
0.0,0.0,0.0,0.0,0.0,1.0,54.0,0.0,1.0,71.0,4400,0.0,0.0,0.0,James Starks,GB,RB,00-0027791,HME,GB@Oak 04:05PM ET
