FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,Salary,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing,Name,Team,Position,GSIS_ID,HmeFldAdv,NextGame
0.25,0,0,0,0,0,92.5,0,0,0,6800,0,0,0,Demaryius Thomas,DEN,WR,00-0027874,HME,Den@Pit 04:25PM ET
0,0.3333333333,1.6666666667,2.6666666667,306,0,0,0,0,3.3333333333,5600,0,0,0,Derek Carr,OAK,QB,00-0031280,HME,GB@Oak 04:05PM ET
0,0.3333333333,0,0,0,0,14.3333333333,0,0,43.6666666667,7500,0,0,0,Devonta Freeman,ATL,RB,00-0031285,HME,Atl@Jax 01:00PM ET
0,0,0,0,0,0.3333333333,59.3333333333,0,0,0,4300,0,0,0,Donte Moncrief,IND,WR,00-0031339,HME,Hou@Ind 01:00PM ET
0,0,0,0,0,1.3333333333,113,0,0,0,5800,0,0,0,Doug Baldwin,SEA,WR,00-0028434,HME,Cle@Sea 04:05PM ET
0.5,0,0,0,0,0,15.5,0,0.5,67.5,6600,0,0,0,Doug Martin,TB,RB,00-0029613,HME,TB@StL 08:25PM ET
0,0,1,4.3333333333,394,0,0,0,0.3333333333,4,6600,0,0,0,Drew Brees,NO,QB,00-0020531,HME,Det@NO 08:30PM ET
0,0,0,0,0,0,31.75,0,0,27.5,3500,0,0,0,Duke Johnson,CLE,RB,00-0032257,HME,Cle@Sea 04:05PM ET
0.3333333333,0,0,0,0,0.3333333333,19.3333333333,0,0.3333333333,76.3333333333,5200,0,0,0,Eddie Lacy,GB,RB,00-0030485,HME,GB@Oak 04:05PM ET
0.3333333333,0,0.3333333333,1,276,0,0,0,0,2.6666666667,5600,0,0,0,Eli Manning,NYG,QB,00-0022803,HME,Car@NYG 01:00PM ET
0.25,0,0,0,0,0,38,0,0,0,5500,0,0,0,Emmanuel Sanders,DEN,WR,00-0027685,HME,Den@Pit 04:25PM ET
0,0,0,0,0,1,75,0,0,0,6300,0,0,0,Eric Decker,NYJ,WR,00-0027690,HME,NYJ@Dal 08:25PM ET
0,0,0,0,0,0,21.3333333333,0,0.3333333333,50,4000,0,0,0,Frank Gore,IND,RB,00-0023500,HME,Hou@Ind 01:00PM ET
0,0,0,0,0,0.5,71.75,0,0,0,5000,0,0,0,Gary Barnidge,CLE,TE,00-0026281,HME,Cle@Sea 04:05PM ET
0,0,0,0,0,0,0,0,0,0,5000,0,0,0,Geno Smith,NYJ,QB,00-0030565,HME,NYJ@Dal 08:25PM ET
0,0,0,0,0,0,33.75,0,0,41,4500,0,0,0,Giovani Bernard,CIN,RB,00-0030456,HME,Cin@SF 04:25PM ET
0,0,0,0,0,0.25,50,0,0,0.25,5500,0,0,0,Golden Tate,DET,WR,00-0027891,HME,Det@NO 08:30PM ET
0,0,0,0,0,0.6,63.2,0,0,0,6900,0,0,0,Greg Olsen,CAR,TE,00-0025418,HME,Car@NYG 01:00PM ET
0,0,0.75,0.5,230.5,0,0,0,0.75,15.75,5500,0,0,0,Jameis Winston,TB,QB,00-0031503,HME,TB@StL 08:25PM ET
0,0,0,0,0,0,16.3333333333,0,0,0,4000,0,0,0,James Jones,GB,WR,00-0025465,HME,GB@Oak 04:05PM ET
0,0,0,0,0,0.3333333333,42.3333333333,0,0.3333333333,50.6666666667,4400,0,0,0,James Starks,GB,RB,00-0027791,HME,GB@Oak 04:05PM ET
0,0,0,0,0,0.5,63.25,0,0,1.25,6300,0,0,0,Jarvis Landry,MIA,WR,00-0031382,HME,Mia@SD 04:25PM ET
0,0,0,0,0,0,31.6666666667,0,0,0,4300,0,0,0,Jason Witten,DAL,TE,00-0022127,HME,NYJ@Dal 08:25PM ET
0.5,0,0.5,0.75,248.25,0,0,0,0.25,13.75,5300,0,0,0,Jay Cutler,CHI,QB,00-0024226,HME,Chi@Min 01:00PM ET
0,0,0,0,0,0,6.75,0,0,42.25,5000,0,0,0,Jeremy Hill,CIN,RB,00-0031301,HME,Cin@SF 04:25PM ET
0,0,0,0,0,0,13.25,0,0.25,41.75,3900,0,0,0,Jeremy Langford,CHI,RB,00-0031569,HME,Chi@Min 01:00PM ET
0,0,0,0,0,0.5,65.75,0,0,-0.5,5500,0,0,0,Jeremy Maclin,KC,WR,00-0026995,HME,KC@Bal 01:00PM ET
0,0,0,0,0,1,62,0,0,3,4900,0,0,0,John Brown,ARI,WR,00-0031051,HME,Ari@Phi 08:30PM ET
0.2,0,0,0,0,0.2,5.8,0,0.4,90,6000,0,0,0,Jonathan Stewart,CAR,RB,00-0026153,HME,Car@NYG 01:00PM ET
0,0,0,0,0,0,17.6666666667,0,0,0,4300,0,0,0,Jordan Matthews,PHI,WR,00-0031299,HME,Ari@Phi 08:30PM ET
0,0,0,0,0,1,58,0,0,0,5900,0,0,0,Jordan Reed,WAS,TE,00-0030472,HME,Buf@Was 01:00PM ET
0.2,0,0,0,0,0.6,38,0,0,0,7400,0,0,0,Julian Edelman,NE,WR,00-0027150,HME,Ten@NE 01:00PM ET
0.3333333333,0,0,0,0,0.3333333333,126,0,0,0,8500,0,0,0,Julio Jones,ATL,WR,00-0027944,HME,Atl@Jax 01:00PM ET
0,0,0,0,0,0.75,50.5,0,0,0,4700,0,0,0.25,Julius Thomas,JAC,TE,00-0028067,HME,Atl@Jax 01:00PM ET
0,0,0,0,0,0.25,68.75,0,0,0,4600,0,0,0,Kamar Aiken,BAL,WR,00-0028497,HME,KC@Bal 01:00PM ET
0,0,0,0,0,0,0,0,1,55,3600,0,0,0,Karlos Williams,BUF,RB,00-0032152,HME,Buf@Was 01:00PM ET
0,0,0,0,0,0.25,23.25,0,0,-1,4000,0,0,0,Kendall Wright,TEN,WR,00-0029708,HME,Ten@NE 01:00PM ET
0.25,0.5,0,2.25,290.5,0,0,0,0.5,5.5,5200,0,0,0,Kirk Cousins,WAS,QB,00-0029604,HME,Buf@Was 01:00PM ET
0.25,0,0,0,0,0.25,19.25,0,0.75,105.25,6300,0,0,0,Lamar Miller,MIA,RB,00-0029615,HME,Mia@SD 04:25PM ET
0,0,0,0,0,0,56.6666666667,0,0,0,7300,0,0,0,Larry Fitzgerald,ARI,WR,00-0022921,HME,Ari@Phi 08:30PM ET
0,0.3333333333,0,0,0,0,15.3333333333,0,0.3333333333,82.3333333333,4500,0,0,0,Latavius Murray,OAK,RB,00-0030513,HME,GB@Oak 04:05PM ET
0,0.2,0,0,0,0,1.4,0,0.2,61.6,4400,0,0,0,LeGarrette Blount,NE,RB,00-0027325,HME,Ten@NE 01:00PM ET
0,0,0,0,0,0,3.5,0,0.5,112,6300,0,0,0,LeSean McCoy,BUF,RB,00-0027029,HME,Buf@Was 01:00PM ET
0.25,0.25,1,1.5,167.75,0,0,0,0.25,35.75,5500,0.25,0,0,Marcus Mariota,TEN,QB,00-0032268,HME,Ten@NE 01:00PM ET
0,0,0,0,0,0,2.6666666667,0,0.3333333333,14,6500,0,0,0,Marshawn Lynch,SEA,RB,00-0025399,HME,Cle@Sea 04:05PM ET
0.25,0,0,0,0,0.75,93,0,0,0,5500,0,0,0,Martavis Bryant,PIT,WR,00-0031373,HME,Den@Pit 04:25PM ET
0,0,0,0,0,0,52,0,0,5.5,4200,0,0,0,Marvin Jones,CIN,WR,00-0029293,HME,Cin@SF 04:25PM ET
0,0,0,0,0,0,18.75,0,0.5,42.5,6500,0,0,0,Matt Forte,CHI,RB,00-0026184,HME,Chi@Min 01:00PM ET
0,0,0,0.6666666667,105,0,0,0,0,-1,5000,0,0,0,Matt Hasselbeck,IND,QB,00-0007091,HME,Hou@Ind 01:00PM ET
0.3333333333,0,2,2,302.333333333,0,0,0,0,2.6666666667,5700,0,0,0,Matt Ryan,ATL,QB,00-0026143,HME,Atl@Jax 01:00PM ET
0,0,0,0,0,0,0,0,0,0,5000,0,0,0,Matt Schaub,BAL,QB,00-0022787,HME,KC@Bal 01:00PM ET
0.25,0,0,2.25,273.75,0,0,0,0.25,17.75,6100,0,0,0,Matthew Stafford,DET,QB,00-0026498,HME,Det@NO 08:30PM ET
0,0,0,0,0,0.6666666667,67.3333333333,0,0,0,5700,0,0,0,Michael Crabtree,OAK,WR,00-0026986,HME,GB@Oak 04:05PM ET
0,0,0,0,0,0.6666666667,53.6666666667,0,0,0,4400,0,0,0,Michael Floyd,ARI,WR,00-0029638,HME,Ari@Phi 08:30PM ET
0.25,0,0,0,0,0.25,94.5,0,0,0,7400,0,0,0,Mike Evans,TB,WR,00-0031408,HME,TB@StL 08:25PM ET
0,0,0,0,0,0.25,44.75,0,0,0,3400,0,0,0,Nate Washington,HOU,WR,00-0023367,HME,Hou@Ind 01:00PM ET
0,0,0,0,0,0.6666666667,96,0,0,0,9200,0,0,0,Odell Beckham,NYG,WR,00-0031235,HME,Car@NYG 01:00PM ET
0,0,1.25,0,93.75,0,0,0,0,0,5800,0,0,0,Peyton Manning,DEN,QB,00-0010346,HME,Den@Pit 04:25PM ET
0,0,1,1,249,0,0,0,0,2,5500,0.5,0,0,Philip Rivers,SD,QB,00-0022942,HME,Mia@SD 04:25PM ET
0,0,0,0,0,0,38.5,0,0,0,4100,0,0,0,Pierre Garcon,WAS,WR,00-0026345,HME,Buf@Was 01:00PM ET
0,0.3333333333,0,0,0,0,69.3333333333,0,0,2,6300,0,0,0,Randall Cobb,GB,WR,00-0028002,HME,GB@Oak 04:05PM ET
0,0,0,0,0,0.6666666667,21.6666666667,0,0,0,4300,0,0,0,Richard Rodgers,GB,TE,00-0031384,HME,GB@Oak 04:05PM ET
