Name,Team,Position,Salary,FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing
Kirk Cousins,WAS,QB,5200,0.200166805675,0.5,0.0,2.09167204657,345.811154711,0.0,0.0,0.0,0.8170212766,6.0513367717,0.0,0.0,0.0
T.Y. Hilton,IND,WR,5900,0.0,0.0,0.0,0.0,0.0,0.619754680385,89.2984969831,0.0,0.0,0.0,0.0,0.0,0.0
Doug Martin,TB,RB,6600,0.0,0.0,0.0,0.0,0.0,0.0,11.0919548157,0.0,0.0,142.889797853,0.0,0.0,0.0
Lamar Miller,MIA,RB,6300,0.0,0.0,0.0,0.0,0.0,0.232408005175,45.3903259736,0.0,1.53191489363,32.4287153944,0.0,0.0,0.0
Michael Floyd,ARI,WR,4400,0.0,0.0,0.0,0.0,0.0,1.23950936085,79.9922068714,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Luck,IND,QB,6500,0.0,0.0,0.880330123844,0.774693350515,159.754191851,0.0,0.0,0.0,0.0,15.5251249836,0.0,0.0,0.0
Brock Osweiler,DEN,QB,5100,0.0,0.0,0.660247592767,1.0845706908,151.830856722,0.0,0.0,0.0,0.0,1.13027842002,0.0,0.0,0.0
Ronnie Hillman,DEN,RB,4300,0.0,0.0,0.0,0.0,0.0,0.0,0.72995604197,0.0,0.0,35.942853756,0.0,0.0,0.0
Ryan Tannehill,MIA,QB,5100,0.40033361135,0.75,0.4951856946,1.16204002587,301.832845599,0.0,2.30798267662,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Wright,TEN,WR,4000,0.0,0.0,0.0,0.0,0.0,0.0,4.7664700797,0.0,0.0,1.2050506846,0.0,0.0,0.0
Theo Riddick,DET,RB,4000,0.0,0.0,0.0,0.0,0.0,0.0,45.0910212654,0.0,0.0,14.1893413956,0.0,0.0,0.0
Giovani Bernard,CIN,RB,4500,0.0,1.0,0.0,0.0,0.0,0.0,55.6909701236,0.0,0.0,15.5214364294,0.0,0.0,0.0
Jordan Reed,WAS,TE,5900,0.0,0.0,0.0,0.0,0.0,0.9296320207,69.0431909578,0.0,0.0,0.0,0.0,0.0,0.0
Eddie Lacy,GB,RB,5200,0.266889074225,0.25,0.0,0.0,0.0,0.0,2.3885928132,0.0,0.4085106383,51.1802715038,0.0,0.0,0.0
Travis Kelce,KC,TE,4400,0.6672226855,0.0,0.0,0.0,0.0,0.0,37.2849077186,0.0,0.0,0.0,0.0,0.3333333333,0.0
Latavius Murray,OAK,RB,4500,0.0,0.3333333333,0.0,0.0,0.0,0.0,11.0731647258,0.0,0.36312056733,82.5171748323,0.0,0.0,0.0
Tavon Austin,STL,WR,3900,0.0,0.0,0.0,0.0,0.0,0.1549386701,36.0860653238,0.0,0.08170212766,16.5975457934,0.0,0.0,0.0
Tyler Eifert,CIN,TE,5200,0.0,0.0,0.0,0.0,0.0,0.27544652468,21.3657180977,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre Hopkins,HOU,WR,8500,0.0,0.0,0.0,0.0,0.0,0.550893049294,68.0469698155,0.0,0.0,0.0,0.0,0.0,0.0
Geno Smith,NYJ,QB,5000,0.0,0.0,0.110041265475,0.2065848935,59.2017729388,0.0,0.0,0.0,0.0,11.1257335941,0.0,0.0,0.0
Willie Snead,NO,WR,4600,0.266889074207,0.3333333333,0.0,0.0,0.0,0.619754680498,53.1383969688,0.0,0.0,0.0,0.0,0.0,0.0
Allen Hurns,JAC,WR,5600,0.0,0.0,0.0,0.0,0.0,0.3098773402,40.1073178235,0.0,0.0,0.0,0.0,0.0,0.25
Crockett Gillmore,BAL,TE,3000,0.0,0.0,0.0,0.0,0.0,0.38734667525,36.406070521,0.0,0.0,0.0,0.0,0.0,0.0
John Brown,ARI,WR,4900,0.0,0.0,0.0,0.0,0.0,0.0,50.3215069933,0.0,0.0,0.0,0.0,0.0,0.0
Odell Beckham,NYG,WR,9200,0.0,0.0,0.0,0.0,0.0,0.578437701762,93.2930580288,0.0,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,NO,WR,5900,0.0,0.0,0.0,0.0,0.0,1.2395093609,82.3489777586,0.0,0.0,-0.7706443773,0.0,0.0,0.0
Teddy Bridgewater,MIN,QB,5100,0.0,0.0,0.440165061889,0.258231116808,169.050415832,0.0,0.0,0.0,0.544680851012,26.3157270738,0.0,0.0,0.0
Derek Carr,OAK,QB,5600,0.0,0.3333333333,1.46721687303,1.65267914775,220.981852571,0.0,0.0,0.0,0.0,3.34077630897,0.0,0.0,0.0
Devonta Freeman,ATL,RB,7500,0.40033361135,0.0,0.0,0.0,0.0,0.232408005175,42.1683558547,0.0,0.0,50.0889205041,0.0,0.0,0.0
Jordan Matthews,PHI,WR,4300,0.0,0.0,0.0,0.0,0.0,0.0,20.6976741037,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Hill,CIN,RB,5000,0.0,0.0,0.0,0.0,0.0,0.0,2.8020613899,0.0,1.6340425532,56.2652070564,0.0,0.0,0.0
Sammy Watkins,BUF,WR,6200,0.0,0.0,0.0,0.0,0.0,0.55777921242,59.6774133344,0.0,0.0,0.22668800758,0.0,0.0,0.2
Donte Moncrief,IND,WR,4300,0.0,0.0,0.0,0.0,0.0,0.154938670085,48.6089677767,0.0,0.0,0.0,0.0,0.0,0.0
Martavis Bryant,PIT,WR,5500,0.100083402825,0.0,0.0,0.0,0.0,0.697224015525,63.0541743936,0.0,0.0,0.0,0.0,0.0,0.0
Jarvis Landry,MIA,WR,6300,0.0,0.0,0.0,0.0,2.30798267662,0.46481601035,91.5499795061,0.0,0.0,8.7308079908,0.0,0.0,0.0
Richard Rodgers,GB,TE,4300,0.0,0.25,0.0,0.0,0.0,0.77469335055,37.4212874068,0.0,0.0,0.0,0.0,0.0,0.0
Charles Sims,TB,RB,3300,0.4804003336,0.0,0.0,0.0,0.0,0.21691413815,25.2793388823,0.0,0.0,32.3424032245,0.0,0.0,0.0
Blake Bortles,JAC,QB,6100,0.400333611375,0.0,0.990371389275,1.2395093608,183.687852863,0.0,0.0,0.0,0.4085106383,16.90833284,0.0,0.0,0.25
Mike Evans,TB,WR,7400,0.0,0.0,0.0,0.0,0.0,0.4338282763,87.4458763379,0.0,0.0,0.0,0.0,0.0,0.0
Austin Seferian-Jenkins,TB,TE,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Robinson,JAC,WR,7600,0.0,0.0,0.0,0.0,0.0,0.4648160103,49.630516576,0.0,0.0,0.0,0.0,0.0,0.25
Jameis Winston,TB,QB,5500,0.0,0.25,0.066024759275,1.95222724335,248.92410226,0.0,0.0,0.0,0.163404255325,14.8456932834,0.0,0.0,0.0
Amari Cooper,OAK,WR,6000,0.0,0.0,0.0,0.0,0.0,0.0,46.6998686262,0.0,0.0,-1.67038815453,0.0,0.0,0.0
Jeremy Langford,CHI,RB,3900,0.0,0.0,0.0,0.0,0.0,0.344308155766,52.0996383517,0.0,1.6340425532,92.9526218374,0.0,0.0,0.0
Stefon Diggs,MIN,WR,4000,0.0,0.0,0.0,0.0,0.0,0.0,39.3845054806,0.0,0.0,-2.5466832652,0.0,0.0,0.0
Thomas Rawls,SEA,RB,6500,0.0,0.3333333333,0.0,0.0,0.0,0.464816010287,15.5193590154,0.0,0.544680851094,106.974924418,0.0,0.0,0.0
Karlos Williams,BUF,RB,3600,0.0,0.2,0.0,0.0,0.0,0.18592640414,5.3137422832,0.0,0.0,9.0675203032,0.0,0.0,0.2
David Johnson,ARI,RB,5700,0.0,0.0,0.0,0.0,0.0,0.41316978695,19.226613521,0.0,0.136170212775,52.3374236776,0.0,0.0,0.0
T.J. Yeldon,JAC,RB,4900,0.0,0.0,0.0,0.0,0.0,0.0,15.3836287542,0.0,0.4085106383,80.616515505,0.0,0.0,0.25
Tyler Lockett,SEA,WR,4200,0.0,0.0,0.0,0.0,0.0,0.929632020713,31.3760954007,0.0,0.0,1.73098583203,0.0,0.0,0.0
Todd Gurley,STL,RB,6700,0.0,0.0,0.0,0.0,0.0,0.0,18.9022246934,0.0,0.49021276596,70.9035508895,0.0,0.0,0.0
Duke Johnson,CLE,RB,3500,0.0,0.0,0.0,0.0,0.0,0.344308155766,62.3852644978,0.0,0.0,6.6583674198,0.0,0.0,0.0
Marcus Mariota,TEN,QB,5500,0.0,0.5,0.19807427785,0.6197546804,198.829894753,0.1549386701,9.3059653937,0.0,0.163404255325,6.3695536186,0.5,0.0,0.0
