FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,Salary,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing,Name,Team,Position,GSIS_ID,HmeFldAdv,NextGame
0,0,0,0,0,0,37,0,1,38,6600,0,0,0,DeAngelo Williams,PIT,RB,00-0024242,AWY,Den@Pit 04:25PM ET
0,0,0,0,0,0,20.75,0,0.25,50.5,4000,0,0,0,DeMarco Murray,PHI,RB,00-0028009,AWY,Ari@Phi 08:30PM ET
0,0,0,0,0,0.3333333333,48.3333333333,0,0,0,4500,0,0,0,DeSean Jackson,WAS,WR,00-0026189,AWY,Buf@Was 01:00PM ET
0,0,0,0,0,0.5,84.25,0,0,0,5600,0,0.25,0,Delanie Walker,TEN,TE,00-0024389,AWY,Ten@NE 01:00PM ET
0,0,0,0,0,0.6666666667,56.6666666667,0,0,0,6800,0,0,0,Demaryius Thomas,DEN,WR,00-0027874,AWY,Den@Pit 04:25PM ET
0.2,0.2,0.2,2.4,244.8,0,0,0,0,3,5600,0,0,0,Derek Carr,OAK,QB,00-0031280,AWY,GB@Oak 04:05PM ET
0.25,0,0,0,0,0.25,39.75,0,0,53.75,7500,0,0,0,Devonta Freeman,ATL,RB,00-0031285,AWY,Atl@Jax 01:00PM ET
0,0,0,0,0,0,36,0,0,0,4300,0,0,0,Donte Moncrief,IND,WR,00-0031339,AWY,Hou@Ind 01:00PM ET
0,0,0,0,0,1.25,57.5,0,0,0,5800,0,0,0,Doug Baldwin,SEA,WR,00-0028434,AWY,Cle@Sea 04:05PM ET
0,0,0,0,0,0,10.75,0,0,134.75,6600,0,0,0,Doug Martin,TB,RB,00-0029613,AWY,TB@StL 08:25PM ET
0,0.25,1,1.25,251,0,0,0,0,-1,6600,0,0,0,Drew Brees,NO,QB,00-0020531,AWY,Det@NO 08:30PM ET
0,0,0,0,0,0.3333333333,43,0,0,9,3500,0,0,0,Duke Johnson,CLE,RB,00-0032257,AWY,Cle@Sea 04:05PM ET
0.25,0.25,0,0,0,0,3,0,0.25,38,5200,0,0,0,Eddie Lacy,GB,RB,00-0030485,AWY,GB@Oak 04:05PM ET
0.25,0.5,1.25,3.5,305.25,0,0,0,0,-0.75,5600,0,0,0,Eli Manning,NYG,QB,00-0022803,AWY,Car@NYG 01:00PM ET
0,0,0,0,0,0.3333333333,36.3333333333,0,0,1.6666666667,5500,0,0,0,Emmanuel Sanders,DEN,WR,00-0027685,AWY,Den@Pit 04:25PM ET
0,0,0,0,0,0.25,84,0,0,0,6300,0,0,0,Eric Decker,NYJ,WR,00-0027690,AWY,NYJ@Dal 08:25PM ET
0.25,0,0,0,0,0.25,29,0,0,52.25,4000,0,0,0,Frank Gore,IND,RB,00-0023500,AWY,Hou@Ind 01:00PM ET
0,0,0,0,0,0.3333333333,67,0,0,0,5000,0,0,0,Gary Barnidge,CLE,TE,00-0026281,AWY,Cle@Sea 04:05PM ET
0,0,0.25,0.5,66.25,0,0,0,0,8.5,5000,0,0,0,Geno Smith,NYJ,QB,00-0030565,AWY,NYJ@Dal 08:25PM ET
0,1,0,0,0,0,53,0,0,18.6666666667,4500,0,0,0,Giovani Bernard,CIN,RB,00-0030456,AWY,Cin@SF 04:25PM ET
0,0,0,0,0,0.6666666667,57,0,0,8.6666666667,5500,0,0,0,Golden Tate,DET,WR,00-0027891,AWY,Det@NO 08:30PM ET
0.3333333333,0,0,0,0,0,93,0,0,0,6900,0,0,0,Greg Olsen,CAR,TE,00-0025418,AWY,Car@NYG 01:00PM ET
0,0.25,0.25,2.25,241.25,0,0,0,0.25,14,5500,0,0,0,Jameis Winston,TB,QB,00-0031503,AWY,TB@StL 08:25PM ET
0,0.25,0,0,0,0.25,46.75,0,0,0,4000,0,0.25,0,James Jones,GB,WR,00-0025465,AWY,GB@Oak 04:05PM ET
0,0.25,0,0,0,0.25,41.75,0,0,19.25,4400,0,0,0,James Starks,GB,RB,00-0027791,AWY,GB@Oak 04:05PM ET
0,0,0,0,2.25,0.5,89.25,0,0,7,6300,0,0,0,Jarvis Landry,MIA,WR,00-0031382,AWY,Mia@SD 04:25PM ET
0,0,0,0,0,0,45.4,0,0,0,4300,0,0,0,Jason Witten,DAL,TE,00-0022127,AWY,NYJ@Dal 08:25PM ET
0.3333333333,0.3333333333,0.3333333333,2,267.666666667,0,0,0,0,10.3333333333,5300,0,0,0,Jay Cutler,CHI,QB,00-0024226,AWY,Chi@Min 01:00PM ET
0,0,0,0,0,0,2.6666666667,0,1,67.6666666667,5000,0,0,0,Jeremy Hill,CIN,RB,00-0031301,AWY,Cin@SF 04:25PM ET
0,0,0,0,0,0.3333333333,61.3333333333,0,1,64.3333333333,3900,0,0,0,Jeremy Langford,CHI,RB,00-0031569,AWY,Chi@Min 01:00PM ET
0.3333333333,0,0,0,0,0.6666666667,47,0,0,0,5500,0,0,0,Jeremy Maclin,KC,WR,00-0026995,AWY,KC@Bal 01:00PM ET
0,0,0,0,0,0,53,0,0,0,4900,0,0,0,John Brown,ARI,WR,00-0031051,AWY,Ari@Phi 08:30PM ET
0.3333333333,0,0,0,0,0,13.3333333333,0,0.6666666667,80.3333333333,6000,0,0,0,Jonathan Stewart,CAR,RB,00-0026153,AWY,Car@NYG 01:00PM ET
0,0,0,0,0,0.75,60.75,0,0,0,4300,0,0,0,Jordan Matthews,PHI,WR,00-0031299,AWY,Ari@Phi 08:30PM ET
0.3333333333,0,0,0,0,0.6666666667,61.3333333333,0,0,0,5900,0,0,0,Jordan Reed,WAS,TE,00-0030472,AWY,Buf@Was 01:00PM ET
0,0,0,0,0,0,17.6666666667,0,0,0,7400,0,0,0,Julian Edelman,NE,WR,00-0027150,AWY,Ten@NE 01:00PM ET
0,0.25,0,0,0,0.25,102.5,0,0,0,8500,0,0,0,Julio Jones,ATL,WR,00-0027944,AWY,Atl@Jax 01:00PM ET
0,0,0,0,0,0.3333333333,17.3333333333,0,0,0,4700,0,0,0,Julius Thomas,JAC,TE,00-0028067,AWY,Atl@Jax 01:00PM ET
0,0,0,0,0,0.3333333333,44.6666666667,0,0,0,4600,0,0,0,Kamar Aiken,BAL,WR,00-0028497,AWY,KC@Bal 01:00PM ET
0,0.2,0,0,0,0.2,5.2,0,0,8,3600,0,0,0.2,Karlos Williams,BUF,RB,00-0032152,AWY,Buf@Was 01:00PM ET
0,0,0,0,0,0,5.25,0,0,1.75,4000,0,0,0,Kendall Wright,TEN,WR,00-0029708,AWY,Ten@NE 01:00PM ET
0.6666666667,0,1,1,241.333333333,0,0,0,0.3333333333,5.6666666667,5200,0,0,0,Kirk Cousins,WAS,QB,00-0029604,AWY,Buf@Was 01:00PM ET
0,0,0,0,0,0.25,44.25,0,0.75,26,6300,0,0,0,Lamar Miller,MIA,RB,00-0029615,AWY,Mia@SD 04:25PM ET
0.25,0,0,0,0,0.25,83.75,0,0,0,7300,0,0,0,Larry Fitzgerald,ARI,WR,00-0022921,AWY,Ari@Phi 08:30PM ET
0.2,0,0,0,0,0,4.6,0,0.4,59,4500,0,0,0,Latavius Murray,OAK,RB,00-0030513,AWY,GB@Oak 04:05PM ET
0,0,0,0,0,0,3.6666666667,0,0.3333333333,48.6666666667,4400,0,0,0,LeGarrette Blount,NE,RB,00-0027325,AWY,Ten@NE 01:00PM ET
0.4,0.2,0,0,0,0.2,38,0,0.2,81.2,6300,0,0,0.2,LeSean McCoy,BUF,RB,00-0027029,AWY,Buf@Was 01:00PM ET
0,0.5,0.25,1,219,0.25,10.25,0,0.25,9.25,5500,0.5,0,0,Marcus Mariota,TEN,QB,00-0032268,AWY,Ten@NE 01:00PM ET
0,0,0,0,0,0,2.75,0,0.25,48.25,6500,0,0,0,Marshawn Lynch,SEA,RB,00-0025399,AWY,Cle@Sea 04:05PM ET
0,0,0,0,0,0.3333333333,54.3333333333,0,0.3333333333,8.3333333333,5500,0,0,0,Martavis Bryant,PIT,WR,00-0031373,AWY,Den@Pit 04:25PM ET
0,0,0,0,0,0.3333333333,42.3333333333,0,0,0.6666666667,4200,0,0,0,Marvin Jones,CIN,WR,00-0029293,AWY,Cin@SF 04:25PM ET
0,0,0,0,0,0,3,0,0,14.6666666667,6500,0,0,0,Matt Forte,CHI,RB,00-0026184,AWY,Chi@Min 01:00PM ET
0.5,0,1,0.75,158.5,0,0,0,0,4.75,5000,0,0,0,Matt Hasselbeck,IND,QB,00-0007091,AWY,Hou@Ind 01:00PM ET
0.25,0.5,1,0.75,261.75,0,0,0,0,0.5,5700,0,0,0,Matt Ryan,ATL,QB,00-0026143,AWY,Atl@Jax 01:00PM ET
0,0,1.3333333333,1,180,0,0,0,0,3.3333333333,5000,0,0,0,Matt Schaub,BAL,QB,00-0022787,AWY,KC@Bal 01:00PM ET
0,0.6666666667,1.3333333333,1.6666666667,234.666666667,0,0,0,0,3.6666666667,6100,0,0,0,Matthew Stafford,DET,QB,00-0026498,AWY,Det@NO 08:30PM ET
0,0.2,0,0,0,0.8,51.8,0,0,0,5700,0,0,0,Michael Crabtree,OAK,WR,00-0026986,AWY,GB@Oak 04:05PM ET
0,0,0,0,0,0.75,84.25,0,0,0,4400,0,0,0,Michael Floyd,ARI,WR,00-0029638,AWY,Ari@Phi 08:30PM ET
0,0,0,0,0,0.5,84.75,0,0,0,7400,0,0,0,Mike Evans,TB,WR,00-0031408,AWY,TB@StL 08:25PM ET
0,0,0,0,0,0.6666666667,67.6666666667,0,0,0,3400,0,0,0,Nate Washington,HOU,WR,00-0023367,AWY,Hou@Ind 01:00PM ET
0,0,0,0,0,1.5,135.75,0,0,0,9200,0,0,0,Odell Beckham,NYG,WR,00-0031235,AWY,Car@NYG 01:00PM ET
0,0,0.6666666667,0.6666666667,93.6666666667,0,0,0,0,0,5800,0,0,0,Peyton Manning,DEN,QB,00-0010346,AWY,Den@Pit 04:25PM ET
0,0.3333333333,0.3333333333,2.3333333333,288,0,0,0,0,4.3333333333,5500,0,0,0,Philip Rivers,SD,QB,00-0022942,AWY,Mia@SD 04:25PM ET
0,0,0,0,0,0,55,0,0,0,4100,0,0,0,Pierre Garcon,WAS,WR,00-0026345,AWY,Buf@Was 01:00PM ET
0,0.25,0,0,0,0.5,44.75,0,0,2.25,6300,0,0,0,Randall Cobb,GB,WR,00-0028002,AWY,GB@Oak 04:05PM ET
0,0.25,0,0,0,0.75,47,0,0,0,4300,0,0,0,Richard Rodgers,GB,TE,00-0031384,AWY,GB@Oak 04:05PM ET
0,0,0,0,0,0,52.25,0,0,1,3900,0,0,0,Rishard Matthews,MIA,WR,00-0029580,AWY,Mia@SD 04:25PM ET
0,0,0,0,0,1,96,0,0,0,7700,0,0,0,Rob Gronkowski,NE,TE,00-0027656,AWY,Ten@NE 01:00PM ET
0,0,0,0,0,0,0.6666666667,0,0,53,4300,0,0,0,Ronnie Hillman,DEN,RB,00-0029683,AWY,Den@Pit 04:25PM ET
0,0,0,0,0,0.75,47.25,0,0,0,3500,0,0,0,Rueben Randle,NYG,WR,00-0029262,AWY,Car@NYG 01:00PM ET
0,0,0.75,2.5,252.75,0,0,0,0.25,27.25,7000,0,0,0,Russell Wilson,SEA,QB,00-0029263,AWY,Cle@Sea 04:05PM ET
0.25,0,0.5,1.25,236.75,0,0,0,0.25,18.75,5400,0,0,0,Ryan Fitzpatrick,NYJ,QB,00-0023682,AWY,NYJ@Dal 08:25PM ET
0,0,0,0,0,0,6,0,0.5,41,4000,0,0,0,Ryan Mathews,PHI,RB,00-0027864,AWY,Ari@Phi 08:30PM ET
0.5,0.75,0.75,1.25,294.25,0,2.25,0,0,0,5100,0,0,0,Ryan Tannehill,MIA,QB,00-0029701,AWY,Mia@SD 04:25PM ET
0,0,0.25,0.75,155,0,0,0,0,1,5100,0,0,0,Sam Bradford,PHI,QB,00-0027854,AWY,Ari@Phi 08:30PM ET
0,0,0,0,0,0.6,58.4,0,0,0.2,6200,0,0,0.2,Sammy Watkins,BUF,WR,00-0031325,AWY,Buf@Was 01:00PM ET
0,0,0,0,0,0.4,58.4,0,0,3.8,4000,0,0,0,Stefon Diggs,MIN,WR,00-0031588,AWY,Chi@Min 01:00PM ET
0,0,0,0,0,0,40.6666666667,0,0.3333333333,60.6666666667,4900,0,0,0,T.J. Yeldon,JAC,RB,00-0032209,AWY,Atl@Jax 01:00PM ET
0,0,0,0,0,0,51,0,0,0,5900,0,0,0,T.Y. Hilton,IND,WR,00-0029608,AWY,Hou@Ind 01:00PM ET
0.3333333333,0,0,0,0,0,17.6666666667,0,0.3333333333,48.3333333333,3900,0,0,0,Tavon Austin,STL,WR,00-0030525,AWY,TB@StL 08:25PM ET
0,0,0,0,0,0.6666666667,41.6666666667,0,0,0,4600,0,0,0,Ted Ginn,CAR,WR,00-0025396,AWY,Car@NYG 01:00PM ET
