,Name,Team,Position,Salary,FumblesLost,OFRTD,PassingInterceptions,PassingTDs,PassingYards,ReceivingTDs,ReceivingYards,Receptions,RushingTDs,RushingYards,TwoPtsPassing,TwoPtsReceiving,TwoPtsRushing,Points
0,Julio Jones,ATL,WR,9000,0.0,0.0,0.0,0.0,0.0,0.0,108.087520259,0.0,0.0,0.0,0.0,0.0,0.0,13.8087520259
1,DeAndre Hopkins,HOU,WR,8800,0.0,0.0,0.0,0.0,0.0,0.0,71.9759834979,0.0,0.0,0.0,0.0,0.0,0.0,7.19759834979
2,Odell Beckham,NYG,WR,8900,0.0,0.0,0.0,0.0,0.0,0.626506024096,129.199351702,0.0,0.0,0.0,0.0,0.0,0.0,19.6789713148
